#X	CH1	CH2
#Sequence	Volt	Volt
834	2.02e+00	0.00e+00
835	2.02e+00	0.00e+00
836	2.06e+00	0.00e+00
837	2.06e+00	0.00e+00
838	2.06e+00	0.00e+00
839	2.06e+00	0.00e+00
840	2.06e+00	0.00e+00
841	2.02e+00	0.00e+00
842	2.02e+00	0.00e+00
843	2.02e+00	0.00e+00
844	2.06e+00	0.00e+00
845	2.02e+00	0.00e+00
846	2.02e+00	0.00e+00
847	2.02e+00	0.00e+00
848	2.06e+00	0.00e+00
849	2.02e+00	0.00e+00
850	2.02e+00	0.00e+00
851	2.06e+00	0.00e+00
852	2.02e+00	0.00e+00
853	2.06e+00	0.00e+00
854	2.06e+00	0.00e+00
855	2.06e+00	0.00e+00
856	2.02e+00	0.00e+00
857	2.06e+00	0.00e+00
858	2.02e+00	0.00e+00
859	2.02e+00	0.00e+00
860	2.02e+00	0.00e+00
861	2.06e+00	0.00e+00
862	2.06e+00	0.00e+00
863	2.02e+00	0.00e+00
864	2.06e+00	0.00e+00
