2	0.500000000	D ∞ h {displaystyle D_{infty h}} D_{{infty h}}	0	–	–	–	–	–	–	2	–	–	180.000°
185	15723.720074072	C 2 {displaystyle C_{2}} C_{{2}}	0.000389762	0	0	12	173	0	0	549	366	0	14.775°
186	15897.897437048	C 1 {displaystyle C_{1}} C_{{1}}	0.000389762	0	0	12	174	0	0	552	368	0	14.739°
187	16072.975186320	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	175	0	0	555	370	0	14.848°
188	16249.222678879	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	176	0	0	558	372	0	14.740°
189	16426.371938862	C 2 {displaystyle C_{2}} C_{{2}}	0.000020732	0	0	12	177	0	0	561	374	0	14.671°
190	16604.428338501	C 3 {displaystyle C_{3}} C_{{3}}	0.000586804	0	0	12	178	0	0	564	376	0	14.501°
191	16783.452219362	C 1 {displaystyle C_{1}} C_{{1}}	0.001129202	0	0	13	177	1	0	567	378	0	14.195°
192	16963.338386460	I {displaystyle I} I	0	0	0	12	180	0	0	570	380	0	14.819°
193	17144.564740880	C 2 {displaystyle C_{2}} C_{{2}}	0.000985192	0	0	12	181	0	0	573	382	0	14.144°
194	17326.616136471	C 1 {displaystyle C_{1}} C_{{1}}	0.000322358	0	0	12	182	0	0	576	384	0	14.350°
195	17509.489303930	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	183	0	0	579	386	0	14.375°
196	17693.460548082	C 2 {displaystyle C_{2}} C_{{2}}	0.000315907	0	0	12	184	0	0	582	388	0	14.251°
197	17878.340162571	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	185	0	0	585	390	0	14.147°
198	18064.262177195	C 2 {displaystyle C_{2}} C_{{2}}	0.000011149	0	0	12	186	0	0	588	392	0	14.237°
199	18251.082495640	C 1 {displaystyle C_{1}} C_{{1}}	0.000534779	0	0	12	187	0	0	591	394	0	14.153°
200	18438.842717530	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	188	0	0	594	396	0	14.222°
201	18627.591226244	C 1 {displaystyle C_{1}} C_{{1}}	0.001048859	0	0	13	187	1	0	597	398	0	13.830°
202	18817.204718262	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	190	0	0	600	400	0	14.189°
203	19007.981204580	C s {displaystyle C_{s}} C_{{s}}	0.000600343	0	0	12	191	0	0	603	402	0	13.977°
204	19199.540775603	T h {displaystyle T_{h}} T_{{h}}	0	0	0	12	192	0	0	606	404	0	14.291°
212	20768.053085964	I {displaystyle I} I	0	0	0	12	200	0	0	630	420	0	14.118°
214	21169.910410375	T {displaystyle T} T	0	0	0	12	202	0	0	636	424	0	13.771°
216	21575.596377869	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	204	0	0	642	428	0	13.735°
217	21779.856080418	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	205	0	0	645	430	0	13.902°
232	24961.252318934	T {displaystyle T} T	0	0	0	12	220	0	0	690	460	0	13.260°
255	30264.424251281	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	243	0	0	759	506	0	12.565°
256	30506.687515847	T {displaystyle T} T	0	0	0	12	244	0	0	762	508	0	12.572°
257	30749.941417346	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	245	0	0	765	510	0	12.672°
272	34515.193292681	I h {displaystyle I_{h}} I_{{h}}	0	0	0	12	260	0	0	810	540	0	12.335°
282	37147.294418462	I {displaystyle I} I	0	0	0	12	270	0	0	840	560	0	12.166°
292	39877.008012909	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	280	0	0	870	580	0	11.857°
306	43862.569780797	T h {displaystyle T_{h}} T_{{h}}	0	0	0	12	294	0	0	912	608	0	11.628°
312	45629.313804002	C 2 {displaystyle C_{2}} C_{{2}}	0.000306163	0	0	12	300	0	0	930	620	0	11.299°
315	46525.825643432	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	303	0	0	939	626	0	11.337°
317	47128.310344520	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	305	0	0	945	630	0	11.423°
318	47431.056020043	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	306	0	0	948	632	0	11.219°
334	52407.728127822	T {displaystyle T} T	0	0	0	12	322	0	0	996	664	0	11.058°
348	56967.472454334	T h {displaystyle T_{h}} T_{{h}}	0	0	0	12	336	0	0	1038	692	0	10.721°
357	59999.922939598	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	345	0	0	1065	710	0	10.728°
358	60341.830924588	T {displaystyle T} T	0	0	0	12	346	0	0	1068	712	0	10.647°
372	65230.027122557	I {displaystyle I} I	0	0	0	12	360	0	0	1110	740	0	10.531°
382	68839.426839215	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	370	0	0	1140	760	0	10.379°
390	71797.035335953	T h {displaystyle T_{h}} T_{{h}}	0	0	0	12	378	0	0	1164	776	0	10.222°
392	72546.258370889	C 1 {displaystyle C_{1}} C_{{1}}	0	0	0	12	380	0	0	1170	780	0	10.278°
400	75582.448512213	T {displaystyle T} T	0	0	0	12	388	0	0	1194	796	0	10.068°
402	76351.192432673	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	390	0	0	1200	800	0	10.099°
432	88353.709681956	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	24	396	12	0	1290	860	0	9.556°
448	95115.546986209	T {displaystyle T} T	0	0	0	24	412	12	0	1338	892	0	9.322°
460	100351.763108673	T {displaystyle T} T	0	0	0	24	424	12	0	1374	916	0	9.297°
468	103920.871715127	S 6 {displaystyle S_{6}} S_{{6}}	0	0	0	24	432	12	0	1398	932	0	9.120°
470	104822.886324279	S 6 {displaystyle S_{6}} S_{{6}}	0	0	0	24	434	12	0	1404	936	0	9.059° 
